id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,Losser,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
388,2013,Dharamsala,5/16/2013,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings XI Punjab,Delhi Daredevils,7,0,DA Miller,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,S Ravi,
389,2013,Hyderabad,5/17/2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,Rajasthan Royals,23,0,A Mishra,Rajiv Gandhi International Stadium,Asad Rauf,AK Chaudhary,
390,2013,Dharamsala,5/18/2013,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Kings XI Punjab,Mumbai Indians,50,0,Azhar Mahmood,Himachal Pradesh Cricket Association Stadium,HDPK Dharmasena,CK Nandan,
391,2013,Bengaluru,5/18/2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,Chennai Super Kings,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker,
392,2013,Pune,5/19/2013,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,normal,0,Pune Warriors,Delhi Daredevils,38,0,LJ Wright,Subrata Roy Sahara Stadium,NJ Llong,SJA Taufel,
393,2013,Hyderabad,5/19/2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,normal,0,Sunrisers Hyderabad,Kolkata Knight Riders,0,5,PA Patel,Rajiv Gandhi International Stadium,Asad Rauf,S Asnani,
394,2013,Delhi,5/21/2013,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,Mumbai Indians,48,0,MEK Hussey,Feroz Shah Kotla,NJ Llong,RJ Tucker,
395,2013,Delhi,5/22/2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,Sunrisers Hyderabad,0,4,BJ Hodge,Feroz Shah Kotla,S Ravi,RJ Tucker,
396,2013,Kolkata,5/24/2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Mumbai Indians,Rajasthan Royals,0,4,Harbhajan Singh,Eden Gardens,C Shamshuddin,SJA Taufel,
397,2013,Kolkata,5/26/2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Mumbai Indians,Chennai Super Kings,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel,
398,2014,Abu Dhabi,4/16/2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,Mumbai Indians,41,0,JH Kallis,Sheikh Zayed Stadium,M Erasmus,RK Illingworth,
